Class,Confidence,X,Y,Width,Height
chair,0.991244,151,270,183,204
chair,0.977068,427,218,173,186
bottle,0.936772,341,34,19,78
book,0.903235,314,208,54,36
bottle,0.901248,240,42,24,72
bottle,0.894778,329,35,15,73
bottle,0.880812,402,136,18,50
book,0.807948,249,147,21,71
bottle,0.806649,421,142,12,38
bottle,0.784035,374,133,15,57
bottle,0.747702,215,39,19,70
book,0.698251,236,146,17,70
book,0.649110,273,146,15,70
cup,0.636067,562,189,23,25
bottle,0.550091,383,121,14,54
sports ball,0.540607,207,200,46,52
